Iterations,Seconds,Score
2350000,1711155224,72,638904
2360000,1711155224,69,951663
2370000,1711155225,70,506208
2380000,1711155226,72,251645
2390000,1711155226,69,831824
2400000,1711155227,71,556638
2410000,1711155227,72,209465
2420000,1711155228,71,856284
2430000,1711155228,71,396656
2440000,1711155229,71,093876
2450000,1711155229,72,117360
2460000,1711155230,70,424216
2470000,1711155231,72,170203
2480000,1711155231,70,835434
2490000,1711155232,70,776349
2500000,1711155232,71,615925
2510000,1711155233,70,574958
2520000,1711155233,70,241953
2530000,1711155234,71,109378
2540000,1711155234,71,588410
2550000,1711155235,69,765706
2560000,1711155235,70,491752
2570000,1711155236,70,151785
2580000,1711155236,70,818210
2590000,1711155237,71,084931
2600000,1711155237,69,106684
2610000,1711155238,70,669302
2620000,1711155238,69,741517
2630000,1711155239,71,181647
2640000,1711155240,71,188984
2650000,1711155240,70,358834
2660000,1711155241,70,531239
2670000,1711155241,69,469622
2680000,1711155242,71,967677
2690000,1711155242,70,388577
2700000,1711155243,71,414834
2710000,1711155243,71,021701
2720000,1711155244,69,655299
2730000,1711155244,70,588975
2740000,1711155245,70,011003
2750000,1711155245,71,045518
2760000,1711155246,71,227545
2770000,1711155246,70,699342
2780000,1711155247,68,981064
2790000,1711155247,69,797197
2800000,1711155248,70,922945
2810000,1711155248,70,137022
2820000,1711155249,70,134465
2830000,1711155250,69,946915
2840000,1711155250,70,191116
2850000,1711155251,71,062200
2860000,1711155251,70,087453
2870000,1711155252,70,984239
2880000,1711155252,68,218803
2890000,1711155253,69,423828
2900000,1711155253,69,177925
2910000,1711155254,70,424952
2920000,1711155254,70,646842
2930000,1711155255,70,875237
2940000,1711155255,69,213457
2950000,1711155256,70,811247
2960000,1711155257,70,193673
2970000,1711155257,69,881387
2980000,1711155258,69,398679
2990000,1711155258,69,037771
3000000,1711155259,70,206956
3010000,1711155259,70,434424
3020000,1711155260,69,419501
3030000,1711155261,69,718935
3040000,1711155261,69,671260
3050000,1711155262,69,333642
3060000,1711155262,69,594327
3070000,1711155263,70,032734
3080000,1711155263,70,057863
3090000,1711155264,69,678465
3100000,1711155265,69,937146
3110000,1711155265,70,068344
3120000,1711155266,68,457070
3130000,1711155266,68,892826
3140000,1711155267,69,172215
3150000,1711155267,70,266530
3160000,1711155268,69,089121
3170000,1711155269,69,408483
3180000,1711155269,69,830367
3190000,1711155270,69,375752
3200000,1711155270,70,013794
3210000,1711155271,69,124449
3220000,1711155271,65,804720
3230000,1711155272,70,080462
3240000,1711155273,68,882919
3250000,1711155273,70,656198
3260000,1711155274,68,759042
3270000,1711155274,68,550090
3280000,1711155275,69,474296
3290000,1711155275,69,671691
3300000,1711155276,68,860699
3310000,1711155277,68,683755
3320000,1711155277,68,454941
3330000,1711155278,69,077368
3340000,1711155278,69,269523
3350000,1711155279,69,308152
3360000,1711155279,69,205469
3370000,1711155280,69,162319
3380000,1711155280,70,142403
3390000,1711155280,69,335034
3400000,1711155281,69,101789
3410000,1711155281,68,817301
3420000,1711155282,68,694416
3430000,1711155282,69,605245
3440000,1711155283,69,148691
3450000,1711155283,69,012082
3460000,1711155284,68,699411
3470000,1711155284,68,887599
3480000,1711155285,69,307473
3490000,1711155285,68,828591
3500000,1711155286,68,290548
3510000,1711155286,69,243607
3520000,1711155287,69,699016
3530000,1711155287,68,641177
3540000,1711155288,68,951101
3550000,1711155289,67,449572
3560000,1711155289,68,175267
3570000,1711155290,67,919457
3580000,1711155290,68,220839
3590000,1711155291,69,053681
3600000,1711155291,69,082715
3610000,1711155292,68,230480
3620000,1711155292,67,427719
3630000,1711155293,68,452910
3640000,1711155293,68,373000
3650000,1711155294,68,304968
3660000,1711155294,68,893628
3670000,1711155295,68,775465
3680000,1711155295,68,098052
3690000,1711155295,68,781360
3700000,1711155296,68,390795
3710000,1711155296,68,513595
3720000,1711155297,68,841072
3730000,1711155297,68,206096
3740000,1711155298,68,449219
3750000,1711155299,67,382885
3760000,1711155299,68,527215
3770000,1711155300,67,508359
3780000,1711155300,67,602950
3790000,1711155301,68,033791
3800000,1711155301,67,993816
3810000,1711155302,68,047614
3820000,1711155303,68,163464
3830000,1711155303,67,738292
3840000,1711155304,67,808946
3850000,1711155304,68,593624
3860000,1711155305,67,608961
3870000,1711155305,67,851047
3880000,1711155306,68,745292
3890000,1711155306,67,916961
3900000,1711155307,68,158761
3910000,1711155307,67,895025
3920000,1711155308,68,067223
3930000,1711155309,68,665632
3940000,1711155309,68,142959
3950000,1711155310,68,406723
3960000,1711155310,66,924006
3970000,1711155311,67,540491
3980000,1711155311,67,771894
3990000,1711155312,67,861166
4000000,1711155313,67,911667
4010000,1711155313,67,307748
4020000,1711155314,67,664799
4030000,1711155314,68,415348
4040000,1711155315,68,396968
4050000,1711155316,67,383037
4060000,1711155316,68,013490
4070000,1711155317,67,897677
4080000,1711155317,68,022468
4090000,1711155318,68,038569
4100000,1711155318,67,980258
4110000,1711155319,67,068041
4120000,1711155320,67,960953
4130000,1711155320,66,657223
4140000,1711155321,67,559642
4150000,1711155321,67,762722
4160000,1711155322,67,180070
4170000,1711155322,68,276728
4180000,1711155323,66,711498
4190000,1711155324,68,052414
4200000,1711155324,67,288433
4210000,1711155325,66,599180
4220000,1711155325,68,113813
4230000,1711155326,67,406579
4240000,1711155327,66,732289
4250000,1711155327,66,499341
4260000,1711155328,66,645326
4270000,1711155328,67,240495
4280000,1711155329,67,590692
4290000,1711155329,67,236557
4300000,1711155330,66,727989
4310000,1711155331,67,575630
4320000,1711155331,66,664833
4330000,1711155332,66,804338
4340000,1711155332,67,508993
4350000,1711155333,65,917999
4360000,1711155333,67,136286
4370000,1711155334,66,532781
4380000,1711155335,66,438536
4390000,1711155335,67,031432
4400000,1711155336,66,438627
4410000,1711155336,67,573888
4420000,1711155337,66,209139
4430000,1711155337,65,846568
4440000,1711155338,66,399223
4450000,1711155338,66,587024
4460000,1711155339,67,175817
4470000,1711155340,66,152740
4480000,1711155340,66,639056
4490000,1711155341,66,606461
4500000,1711155341,65,879575
4510000,1711155342,65,651373
4520000,1711155342,67,620551
4530000,1711155343,67,022575
4540000,1711155344,67,180774
4550000,1711155344,64,862048
4560000,1711155345,66,746711
4570000,1711155345,65,706564
4580000,1711155346,66,187453
4590000,1711155346,66,635988
4600000,1711155347,66,836445
4610000,1711155347,65,548660
4620000,1711155348,66,791416
4630000,1711155349,66,990721
4640000,1711155349,67,091594
4650000,1711155350,66,302654
4660000,1711155350,66,082459
4670000,1711155351,65,862978
4680000,1711155351,65,681637
4690000,1711155352,66,075243
4700000,1711155353,66,033421
4710000,1711155353,66,537146
4720000,1711155353,66,547218
4730000,1711155354,64,743649
4740000,1711155355,65,725192
4750000,1711155355,66,167980
4760000,1711155356,65,092330
4770000,1711155356,65,812364
4780000,1711155357,65,934204
4790000,1711155357,66,410174
4800000,1711155358,66,695843
4810000,1711155359,65,166761
4820000,1711155359,66,100748
4830000,1711155360,65,731938
4840000,1711155360,66,357651
4850000,1711155361,65,366798
4860000,1711155361,64,684424
4870000,1711155362,65,868041
4880000,1711155363,65,635023
4890000,1711155363,65,449635
4900000,1711155364,65,917272
4910000,1711155364,65,292673
4920000,1711155365,65,902235
4930000,1711155365,66,361465
4940000,1711155366,65,721601
4950000,1711155367,66,501425
4960000,1711155367,65,719239
4970000,1711155368,65,659778
4980000,1711155368,65,598825
4990000,1711155369,65,441476
5000000,1711155369,65,077005
5010000,1711155370,65,194864
