Iterations,Seconds,Score
2350000,1711227894,42,867612
2360000,1711227894,43,429631
2370000,1711227895,43,065519
2380000,1711227895,42,511177
2390000,1711227896,43,139078
2400000,1711227896,43,434086
2410000,1711227896,42,243646
2420000,1711227897,42,647621
2430000,1711227897,42,519452
2440000,1711227898,43,200533
2450000,1711227899,42,580450
2460000,1711227899,42,499827
2470000,1711227900,43,150417
2480000,1711227900,43,195082
2490000,1711227900,42,945171
2500000,1711227901,42,573540
2510000,1711227901,42,475221
2520000,1711227902,42,685164
2530000,1711227902,43,210143
2540000,1711227903,43,008410
2550000,1711227903,42,833011
2560000,1711227904,41,836542
2570000,1711227905,43,164267
2580000,1711227905,42,885238
2590000,1711227906,42,612508
2600000,1711227906,42,982634
2610000,1711227906,40,495071
2620000,1711227906,42,707714
2630000,1711227907,43,254145
2640000,1711227907,42,239374
2650000,1711227908,43,251025
2660000,1711227909,42,571916
2670000,1711227909,42,888406
2680000,1711227910,42,952899
2690000,1711227910,42,172823
2700000,1711227911,42,100118
2710000,1711227911,42,542512
2720000,1711227912,42,519938
2730000,1711227912,41,588662
2740000,1711227913,42,543476
2750000,1711227913,41,989120
2760000,1711227914,43,069101
2770000,1711227914,42,119309
2780000,1711227915,42,122272
2790000,1711227915,42,773392
2800000,1711227916,42,083154
2810000,1711227916,42,600500
2820000,1711227917,42,425504
2830000,1711227917,42,550348
2840000,1711227918,42,685814
2850000,1711227919,42,343339
2860000,1711227919,42,740921
2870000,1711227920,42,292951
2880000,1711227920,41,463202
2890000,1711227921,41,586754
2900000,1711227921,42,581124
2910000,1711227922,42,199348
2920000,1711227923,42,210683
2930000,1711227923,42,213295
2940000,1711227924,41,956171
2950000,1711227924,42,677311
2960000,1711227925,41,451806
2970000,1711227925,42,123161
2980000,1711227926,42,463724
2990000,1711227927,42,171143
3000000,1711227927,41,785201
3010000,1711227928,41,660047
3020000,1711227928,42,097636
3030000,1711227929,42,431413
3040000,1711227929,42,221379
3050000,1711227930,42,028502
3060000,1711227930,42,048845
3070000,1711227931,41,323128
3080000,1711227932,42,039505
3090000,1711227932,41,915350
3100000,1711227933,41,757223
3110000,1711227933,41,997096
3120000,1711227934,41,972619
3130000,1711227934,42,239737
3140000,1711227935,41,625040
3150000,1711227936,42,039744
3160000,1711227936,41,184690
3170000,1711227937,41,905928
3180000,1711227937,41,185525
3190000,1711227938,41,494775
3200000,1711227938,42,001357
3210000,1711227939,41,617852
3220000,1711227939,41,921516
3230000,1711227940,41,454312
3240000,1711227940,41,291604
3250000,1711227941,41,655551
3260000,1711227941,41,336351
3270000,1711227942,42,032434
3280000,1711227942,41,346458
3290000,1711227943,41,532760
3300000,1711227943,41,777222
3310000,1711227944,41,693361
3320000,1711227944,41,599305
3330000,1711227945,41,030533
3340000,1711227946,41,289095
3350000,1711227946,41,148935
3360000,1711227947,41,180674
3370000,1711227947,41,883865
3380000,1711227948,41,374128
3390000,1711227949,41,558662
3400000,1711227949,41,538309
3410000,1711227950,41,333347
3420000,1711227950,40,419091
3430000,1711227951,41,405265
3440000,1711227951,41,234372
3450000,1711227952,40,685273
3460000,1711227953,41,236147
3470000,1711227953,41,103978
3480000,1711227954,41,009613
3490000,1711227954,42,022123
3500000,1711227955,41,049590
3510000,1711227955,41,446136
3520000,1711227956,40,855201
3530000,1711227956,40,962989
3540000,1711227957,41,252344
3550000,1711227957,41,252534
3560000,1711227958,41,549359
3570000,1711227958,41,286885
3580000,1711227959,40,838117
3590000,1711227959,41,088766
3600000,1711227960,40,978802
3610000,1711227961,41,635245
3620000,1711227961,40,965806
3630000,1711227962,41,529515
3640000,1711227962,40,914638
3650000,1711227963,41,075044
3660000,1711227963,40,291265
3670000,1711227964,40,386146
3680000,1711227964,41,154289
3690000,1711227965,40,714428
3700000,1711227965,40,284504
3710000,1711227966,41,168425
3720000,1711227967,40,356499
3730000,1711227967,40,988980
3740000,1711227968,40,924529
3750000,1711227968,40,953795
3760000,1711227969,40,703196
3770000,1711227969,40,217749
3780000,1711227970,40,482660
3790000,1711227970,40,623233
3800000,1711227971,40,413103
3810000,1711227971,40,770742
3820000,1711227972,39,429317
3830000,1711227972,40,572733
3840000,1711227973,40,170909
3850000,1711227973,40,302771
3860000,1711227974,39,978739
3870000,1711227975,40,713109
3880000,1711227975,40,433409
3890000,1711227975,40,743684
3900000,1711227976,40,412814
3910000,1711227977,40,368058
3920000,1711227977,40,425444
3930000,1711227978,40,771255
3940000,1711227978,40,602198
3950000,1711227979,40,354444
3960000,1711227979,40,606436
3970000,1711227980,39,285414
3980000,1711227980,40,828943
3990000,1711227981,40,345215
4000000,1711227981,39,614476
4010000,1711227982,40,221195
4020000,1711227982,40,272479
4030000,1711227983,40,696874
4040000,1711227983,40,051327
