Iterations,Seconds,Score
2350000,1711187307,64,679464
2360000,1711187307,65,760377
2370000,1711187308,63,855088
2380000,1711187309,65,659545
2390000,1711187309,66,737977
2400000,1711187309,65,538872
2410000,1711187310,64,352592
2420000,1711187310,66,811975
2430000,1711187311,66,369742
2440000,1711187311,67,081075
2450000,1711187312,65,650831
2460000,1711187312,65,598695
2470000,1711187313,65,624897
2480000,1711187313,65,512943
2490000,1711187314,62,910847
2500000,1711187314,66,808627
2510000,1711187314,65,028324
2520000,1711187315,66,360122
2530000,1711187316,64,823698
2540000,1711187316,64,981417
2550000,1711187317,64,171879
2560000,1711187317,64,735798
2570000,1711187318,66,317862
2580000,1711187318,65,620241
2590000,1711187319,66,024956
2600000,1711187319,63,972105
2610000,1711187320,64,511595
2620000,1711187320,65,486025
2630000,1711187321,65,155968
2640000,1711187321,64,571831
2650000,1711187322,63,204226
2660000,1711187323,64,299881
2670000,1711187323,63,395141
2680000,1711187324,64,003950
2690000,1711187324,64,888555
2700000,1711187325,64,270988
2710000,1711187325,63,401410
2720000,1711187326,64,964530
2730000,1711187326,64,014542
2740000,1711187327,64,895892
2750000,1711187327,64,632959
2760000,1711187328,65,222022
2770000,1711187329,61,940944
2780000,1711187329,64,855351
2790000,1711187330,64,644955
2800000,1711187330,65,474737
2810000,1711187331,64,100596
2820000,1711187331,64,179693
2830000,1711187332,66,017071
2840000,1711187332,64,728050
2850000,1711187333,65,131070
2860000,1711187334,63,935618
2870000,1711187334,65,087914
2880000,1711187335,63,638717
2890000,1711187335,63,502595
2900000,1711187336,64,416042
2910000,1711187336,64,296883
2920000,1711187337,63,620914
2930000,1711187338,62,220459
2940000,1711187338,61,822850
2950000,1711187339,64,075112
2960000,1711187339,63,234474
2970000,1711187340,63,487845
2980000,1711187340,63,842323
2990000,1711187341,63,467758
3000000,1711187341,63,946583
3010000,1711187342,63,982470
3020000,1711187342,64,493173
3030000,1711187343,62,591531
3040000,1711187343,61,464205
3050000,1711187344,61,801214
3060000,1711187344,64,666229
3070000,1711187345,63,829729
3080000,1711187346,63,143827
3090000,1711187346,63,039764
3100000,1711187347,63,063524
3110000,1711187347,62,722481
3120000,1711187348,63,220299
3130000,1711187348,62,273173
3140000,1711187349,62,476014
3150000,1711187349,64,274720
3160000,1711187350,63,573873
3170000,1711187351,61,918174
3180000,1711187351,63,921490
3190000,1711187352,62,298028
3200000,1711187352,62,103994
3210000,1711187353,63,504762
3220000,1711187353,61,899814
3230000,1711187354,61,405439
3240000,1711187354,62,688165
3250000,1711187355,63,203753
3260000,1711187355,62,326669
3270000,1711187356,63,020097
3280000,1711187357,63,118390
3290000,1711187357,62,416214
3300000,1711187358,61,628124
3310000,1711187358,62,001367
3320000,1711187359,62,890366
3330000,1711187359,62,133483
3340000,1711187360,62,921682
3350000,1711187360,62,030073
3360000,1711187361,62,324979
3370000,1711187361,61,536794
3380000,1711187362,61,863321
3390000,1711187362,61,439224
3400000,1711187363,62,545066
3410000,1711187364,61,810158
3420000,1711187364,62,754524
3430000,1711187365,60,378369
3440000,1711187365,61,253692
3450000,1711187366,62,060858
3460000,1711187367,61,753905
3470000,1711187367,62,884945
3480000,1711187368,62,438899
3490000,1711187368,61,159050
3500000,1711187369,62,757245
3510000,1711187369,61,998928
3520000,1711187370,61,532840
3530000,1711187371,62,173865
3540000,1711187371,61,249545
3550000,1711187371,61,087342
3560000,1711187372,60,852523
3570000,1711187372,62,420144
3580000,1711187373,61,860728
3590000,1711187373,61,654981
3600000,1711187374,60,855003
3610000,1711187374,62,076383
3620000,1711187375,62,880983
3630000,1711187375,61,097681
3640000,1711187376,61,698040
3650000,1711187376,61,421539
3660000,1711187377,61,241975
3670000,1711187378,60,858647
3680000,1711187378,61,035354
3690000,1711187379,60,720947
3700000,1711187379,61,519563
3710000,1711187380,60,074276
3720000,1711187380,61,573122
3730000,1711187381,61,266905
3740000,1711187381,61,623121
3750000,1711187382,60,939871
3760000,1711187383,60,713946
3770000,1711187383,62,639315
3780000,1711187384,60,563557
3790000,1711187384,61,018369
3800000,1711187385,61,295950
3810000,1711187385,61,048070
3820000,1711187386,60,916528
3830000,1711187386,60,943671
3840000,1711187387,60,999978
3850000,1711187387,60,507590
3860000,1711187388,60,526871
3870000,1711187388,61,048514
3880000,1711187389,61,715149
3890000,1711187389,61,040802
3900000,1711187390,60,164958
3910000,1711187391,59,733370
3920000,1711187391,60,668755
3930000,1711187392,60,853990
3940000,1711187392,59,720424
3950000,1711187393,60,863379
3960000,1711187393,60,737715
3970000,1711187394,60,832053
3980000,1711187394,60,874548
3990000,1711187395,60,677533
4000000,1711187395,60,711072
4010000,1711187396,60,091679
4020000,1711187397,60,226809
4030000,1711187397,59,749341
4040000,1711187398,61,099137
4050000,1711187398,60,594260
4060000,1711187399,60,816543
4070000,1711187399,61,082388
4080000,1711187400,59,727880
4090000,1711187400,60,247327
4100000,1711187401,60,256680
4110000,1711187401,59,908691
4120000,1711187402,60,232340
4130000,1711187403,60,571960
4140000,1711187403,59,439933
4150000,1711187404,61,430267
4160000,1711187404,60,555256
4170000,1711187405,59,565507
4180000,1711187405,60,694715
4190000,1711187406,59,961920
4200000,1711187406,60,019095
4210000,1711187407,59,987212
4220000,1711187407,59,308877
4230000,1711187408,59,320428
4240000,1711187409,59,792389
4250000,1711187409,61,032695
4260000,1711187410,59,356238
4270000,1711187410,60,356247
4280000,1711187411,59,138854
4290000,1711187411,59,339035
4300000,1711187412,59,811254
4310000,1711187412,60,294471
4320000,1711187413,59,446583
4330000,1711187414,60,254803
4340000,1711187414,60,870736
4350000,1711187415,58,608610
4360000,1711187415,59,406928
4370000,1711187416,59,518152
4380000,1711187416,58,704178
4390000,1711187417,59,264346
4400000,1711187417,59,284677
4410000,1711187418,59,533964
4420000,1711187418,58,595378
4430000,1711187419,59,976044
4440000,1711187420,58,562455
4450000,1711187420,58,279501
4460000,1711187421,59,611234
4470000,1711187421,60,052954
4480000,1711187422,59,104774
4490000,1711187422,58,569063
4500000,1711187423,58,284864
4510000,1711187424,59,876587
4520000,1711187424,59,436401
4530000,1711187425,58,849808
4540000,1711187425,59,031571
4550000,1711187426,57,711520
4560000,1711187426,58,633579
4570000,1711187427,58,935059
4580000,1711187427,59,104526
4590000,1711187428,58,192194
4600000,1711187428,58,474142
4610000,1711187429,58,597936
4620000,1711187429,58,645403
4630000,1711187430,57,776001
4640000,1711187430,58,630928
4650000,1711187431,58,768679
4660000,1711187431,58,427300
4670000,1711187432,58,039349
4680000,1711187433,57,771820
4690000,1711187433,60,133191
4700000,1711187434,58,776351
4710000,1711187434,57,912854
4720000,1711187435,58,022903
4730000,1711187435,58,431997
4740000,1711187436,57,092127
4750000,1711187436,57,739163
4760000,1711187437,58,840868
4770000,1711187438,57,960626
4780000,1711187438,57,143901
4790000,1711187439,58,873951
4800000,1711187439,58,187255
4810000,1711187440,57,250657
4820000,1711187440,58,526993
4830000,1711187441,58,117641
4840000,1711187441,58,390092
4850000,1711187442,58,595101
4860000,1711187442,57,754947
4870000,1711187443,57,809119
4880000,1711187444,58,361447
4890000,1711187444,58,646176
4900000,1711187445,58,201536
4910000,1711187445,56,871395
4920000,1711187446,57,873960
4930000,1711187446,58,143372
4940000,1711187447,58,160044
4950000,1711187448,58,522992
4960000,1711187448,57,025559
4970000,1711187449,58,397186
4980000,1711187449,57,913621
4990000,1711187450,57,945831
5000000,1711187450,58,747536
5010000,1711187451,56,979291
5020000,1711187451,57,772400
5030000,1711187452,57,604142
5040000,1711187452,57,124025
5050000,1711187453,57,431128
5060000,1711187453,57,752140
5070000,1711187454,58,252090
5080000,1711187455,57,157925
5090000,1711187455,57,411682
5100000,1711187456,57,958129
5110000,1711187456,57,391748
5120000,1711187457,57,393769
5130000,1711187457,58,106683
5140000,1711187458,57,879449
5150000,1711187459,56,371368
5160000,1711187459,56,798372
5170000,1711187460,57,761110
5180000,1711187460,57,620654
5190000,1711187461,57,189512
5200000,1711187461,57,029382
5210000,1711187462,57,519666
5220000,1711187463,57,415385
5230000,1711187463,57,566146
5240000,1711187464,57,187537
5250000,1711187464,57,085651
5260000,1711187464,57,149330
5270000,1711187464,56,780613
5280000,1711187464,56,944729
5290000,1711187464,57,421220
5300000,1711187464,58,145655
5310000,1711187464,56,506575
5320000,1711187465,56,272300
5330000,1711187465,56,612732
5340000,1711187466,57,400262
5350000,1711187467,54,832230
5360000,1711187467,57,661021
5370000,1711187468,56,586013
5380000,1711187468,56,350861
5390000,1711187469,57,614886
