Iterations,Seconds,Score
2350000,1711265438,44,099853
2360000,1711265439,44,047985
2370000,1711265440,43,959039
2380000,1711265440,43,795728
2390000,1711265441,44,417929
2400000,1711265441,43,786286
2410000,1711265442,44,209995
2420000,1711265442,43,853786
2430000,1711265443,44,639620
2440000,1711265443,44,112892
2450000,1711265444,44,163047
2460000,1711265445,43,465408
2470000,1711265445,43,838587
2480000,1711265446,44,056291
2490000,1711265446,43,627214
2500000,1711265447,43,886661
2510000,1711265447,43,269948
2520000,1711265448,44,358768
2530000,1711265448,43,502940
2540000,1711265449,43,679604
2550000,1711265449,43,229138
2560000,1711265450,43,458603
2570000,1711265450,43,216419
2580000,1711265451,43,528939
2590000,1711265451,43,560471
2600000,1711265452,43,753440
2610000,1711265453,43,830343
2620000,1711265453,43,737644
2630000,1711265454,43,904772
2640000,1711265454,43,894153
2650000,1711265455,43,343017
2660000,1711265455,43,678964
2670000,1711265456,44,048217
2680000,1711265456,42,593376
2690000,1711265457,43,363135
2700000,1711265458,42,831824
2710000,1711265458,43,529570
2720000,1711265459,41,832094
2730000,1711265459,43,209211
2740000,1711265460,43,469134
2750000,1711265461,43,334309
2760000,1711265461,43,298583
2770000,1711265462,43,451192
2780000,1711265462,43,382279
2790000,1711265463,42,963483
2800000,1711265464,42,560299
2810000,1711265464,43,406713
2820000,1711265465,42,526046
2830000,1711265465,43,685489
2840000,1711265466,42,873568
2850000,1711265466,43,291531
2860000,1711265467,43,473448
2870000,1711265467,43,348154
2880000,1711265468,43,468043
2890000,1711265468,43,591981
2900000,1711265469,43,276258
2910000,1711265470,42,863980
2920000,1711265470,43,236675
2930000,1711265471,42,644120
2940000,1711265471,42,913993
2950000,1711265472,42,363930
2960000,1711265472,43,174711
2970000,1711265473,43,143664
2980000,1711265474,42,339423
2990000,1711265474,42,177696
3000000,1711265475,43,792976
3010000,1711265475,42,659561
3020000,1711265476,42,856675
3030000,1711265477,42,567874
3040000,1711265477,42,685500
3050000,1711265478,42,849353
3060000,1711265478,42,982918
3070000,1711265479,43,018284
3080000,1711265479,43,102632
3090000,1711265480,41,889690
3100000,1711265480,42,340266
3110000,1711265480,42,848594
3120000,1711265480,42,376242
3130000,1711265481,43,154086
3140000,1711265481,42,749620
3150000,1711265482,42,298603
3160000,1711265482,42,298805
3170000,1711265483,42,534974
3180000,1711265483,41,786838
3190000,1711265484,42,388795
3200000,1711265484,42,653347
3210000,1711265485,42,726528
3220000,1711265485,42,692937
3230000,1711265486,42,372507
3240000,1711265486,42,538291
3250000,1711265487,42,697989
3260000,1711265487,42,780920
3270000,1711265488,41,623435
3280000,1711265488,42,560384
3290000,1711265489,42,859793
3300000,1711265489,42,269609
3310000,1711265490,42,350038
3320000,1711265491,42,014656
3330000,1711265491,42,377648
3340000,1711265492,42,060119
3350000,1711265492,42,519205
3360000,1711265493,42,179657
3370000,1711265493,42,277669
3380000,1711265494,41,979914
3390000,1711265494,41,974712
3400000,1711265495,42,460027
3410000,1711265495,42,517416
3420000,1711265496,42,207984
3430000,1711265496,42,212951
3440000,1711265497,42,182743
3450000,1711265498,41,176323
3460000,1711265498,42,278842
3470000,1711265499,42,277815
3480000,1711265499,41,900524
3490000,1711265500,41,066527
3500000,1711265500,41,751073
3510000,1711265501,41,640066
3520000,1711265501,42,453773
3530000,1711265502,41,941870
3540000,1711265502,41,884748
3550000,1711265503,41,996384
3560000,1711265503,41,456198
3570000,1711265504,41,675743
3580000,1711265505,42,228653
3590000,1711265505,42,018158
3600000,1711265506,41,931687
3610000,1711265506,41,767245
3620000,1711265507,41,394646
3630000,1711265507,41,612749
3640000,1711265508,41,944504
3650000,1711265509,41,253446
3660000,1711265509,41,915572
3670000,1711265510,41,766053
3680000,1711265510,40,744053
3690000,1711265511,41,368291
3700000,1711265511,42,029718
3710000,1711265512,41,990376
3720000,1711265512,41,719308
3730000,1711265513,41,159867
3740000,1711265513,41,664681
3750000,1711265514,42,133934
3760000,1711265515,41,427636
3770000,1711265515,41,670966
3780000,1711265516,41,832703
3790000,1711265516,41,437441
3800000,1711265517,40,542393
3810000,1711265517,40,986317
3820000,1711265518,42,410428
3830000,1711265519,41,228502
3840000,1711265519,42,371935
3850000,1711265520,41,350173
3860000,1711265520,41,206561
3870000,1711265521,41,032437
3880000,1711265521,41,145063
3890000,1711265522,41,050969
3900000,1711265522,40,631039
3910000,1711265523,40,919450
3920000,1711265523,41,031776
3930000,1711265524,41,375384
3940000,1711265524,41,000480
3950000,1711265525,41,223018
3960000,1711265525,41,086212
3970000,1711265526,41,455541
3980000,1711265527,40,128395
3990000,1711265527,40,648540
4000000,1711265528,41,163735
4010000,1711265528,41,032674
4020000,1711265529,41,420496
4030000,1711265529,41,179167
4040000,1711265530,40,974020
4050000,1711265530,40,615643
